project_type,location_tier,size_sqft,num_floors,material_grade,duration_weeks,labor_cost,material_cost,total_cost
Commercial,Tier2,54812,15,Budget,81,71245944.97,85986401.41,228938550.17
Residential,Tier2,2216,1,Standard,41,2583710.01,2622378.66,6711868.77
Commercial,Tier2,63643,8,Standard,87,106356854.19,125769683.74,301051390.58
Industrial,Tier2,43478,3,Standard,32,44538820.15,47815891.27,128305074.52
Residential,Tier2,3859,1,Budget,4,2577120.02,2655372.78,6473390.66
Industrial,Tier1,91854,3,Standard,52,137487945.84,154288800.19,367577648.38
Industrial,Tier1,114230,3,Premium,82,192426612.45,221586179.2,617146377.56
Residential,Tier3,2820,3,Budget,11,1637965.9,1743044.97,4360305.66
Residential,Tier3,1435,2,Budget,50,1380070.96,1677835.16,4458675.19
Residential,Tier2,2730,1,Premium,10,2629704.57,3669362.89,8686144.16
Residential,Tier1,4540,3,Budget,14,3965093.78,4298190.83,11649616.93
Residential,Tier2,4197,3,Premium,42,6337110.57,6969713.91,15868252.22
Commercial,Tier2,54879,17,Standard,102,100900503.91,124928649.25,317808480.35
Residential,Tier1,4583,2,Budget,28,4360966.87,4391078.26,11874187.82
Residential,Tier1,2961,2,Premium,15,4029530.35,5000440.55,12697848.83
Industrial,Tier3,131022,1,Standard,101,105498142.21,110708399.73,283232686.64
Residential,Tier2,3859,2,Standard,41,3870458.59,4338140.91,11041563.73
Industrial,Tier1,95357,4,Standard,40,144223877.12,160119570.58,391915722.4
Residential,Tier1,2660,1,Standard,15,2709631.6,3401914.09,8460002.79
Residential,Tier1,4488,3,Budget,46,5055370.61,4926002.91,13496722.49
Commercial,Tier2,19567,17,Standard,61,45793038.42,40864431.03,114608118.9
Commercial,Tier1,66944,14,Premium,36,242445848.21,279733219.45,661399247.34
Industrial,Tier1,86852,4,Budget,43,93923784.45,109147333.2,268854507.54
Commercial,Tier3,23230,4,Standard,64,30944809.13,30438630.19,78876973.64
Industrial,Tier1,65968,3,Standard,41,79747876.97,113925486.91,264429027.5
Residential,Tier2,3490,1,Standard,28,3447882.66,3594060.13,9243842.79
Residential,Tier1,2696,1,Budget,7,2566789.31,2835576.25,6600557.02
Commercial,Tier1,35795,4,Premium,29,85093613.01,105773990.76,277931604.7
Industrial,Tier1,170043,9,Standard,39,273489108.3,283222057.98,792707308.58
Industrial,Tier3,176671,7,Budget,46,107251308.75,148345718.0,334666763.47
Residential,Tier3,1146,1,Budget,49,1385875.3,1513342.14,3885793.48
Residential,Tier3,2259,3,Budget,14,1299220.72,1528179.07,3559954.6
Commercial,Tier2,22569,5,Standard,43,32832797.82,37570097.59,99414301.92
Residential,Tier2,1097,1,Standard,44,1527863.37,1830957.49,4415813.48
Industrial,Tier1,143106,3,Premium,41,252510926.63,336747319.39,770005447.01
Industrial,Tier1,25355,7,Standard,33,38239147.4,40194041.36,113489783.57
Residential,Tier3,1868,3,Budget,26,1229948.78,1685834.09,3892809.7
Commercial,Tier1,47070,17,Standard,74,143418969.61,150276013.79,369107645.1
Commercial,Tier1,45197,6,Standard,100,83616943.26,114104001.56,277796192.89
Residential,Tier1,4037,2,Budget,50,4642028.83,4810316.11,11956567.71
Industrial,Tier1,176044,2,Budget,48,183061290.5,224207462.35,512535691.84
Commercial,Tier1,11716,12,Budget,94,22052143.1,23453878.86,66189699.34
Industrial,Tier2,46654,5,Standard,41,54285250.66,54838903.11,145808266.78
Residential,Tier2,1986,2,Standard,22,1885915.35,2352594.31,5376421.34
Industrial,Tier3,49320,2,Standard,35,38453549.66,46731268.62,109895271.67
Residential,Tier3,4683,3,Premium,39,4081456.46,4616224.68,13123053.83
Residential,Tier2,960,1,Premium,17,1328729.32,1574712.72,3920115.16
Industrial,Tier1,138581,6,Standard,40,194384812.31,241676080.96,599756103.45
Residential,Tier2,4254,3,Premium,38,4693696.39,6071419.98,15564223.1
Residential,Tier2,2968,2,Budget,33,2250960.88,2543907.85,6699089.7
Industrial,Tier1,178819,7,Budget,41,183950027.88,248955561.39,595341803.43
Industrial,Tier2,96396,6,Budget,102,76040706.12,86569763.18,233480732.0
Commercial,Tier2,68315,19,Budget,73,95000072.75,132060866.98,307193410.38
Commercial,Tier2,76344,5,Standard,75,103142891.8,143126749.84,332617973.05
Residential,Tier2,1202,3,Premium,49,2054576.83,2514591.14,6422536.98
Residential,Tier1,2153,3,Budget,33,2799249.85,2647873.85,6998388.39
Residential,Tier3,2566,2,Budget,32,1525271.51,1922414.25,5080539.49
Commercial,Tier3,22709,15,Standard,39,35614440.77,38977696.72,97877562.32
Commercial,Tier1,63557,12,Premium,78,189550280.4,254619667.27,603424307.76
Commercial,Tier3,22543,12,Standard,90,36727419.36,36148873.02,93677385.55
Commercial,Tier2,42418,19,Standard,28,78250506.74,103959644.09,252940505.36
Residential,Tier3,861,3,Budget,41,1267230.4,1243975.66,3204071.2
Residential,Tier3,4227,1,Budget,45,2734108.02,2880694.94,7571763.39
Residential,Tier2,1784,3,Premium,50,2473820.33,2905394.96,8242583.7
Commercial,Tier1,17605,6,Premium,91,57598228.41,51828164.34,147915053.79
Residential,Tier1,948,2,Budget,26,1182194.43,1251176.82,3356874.43
Industrial,Tier2,94083,5,Premium,38,128299073.88,153612945.67,393233407.88
Residential,Tier2,4062,1,Standard,45,4176736.59,4824190.31,11086878.33
Residential,Tier1,3020,1,Premium,10,5009520.7,5483875.7,12757696.41
Residential,Tier1,3581,2,Standard,25,4266484.64,4613656.48,12247024.38
Commercial,Tier3,75448,5,Standard,46,84112417.25,94995405.92,253690425.74
Commercial,Tier3,9648,2,Standard,20,11529466.81,11341952.63,30429226.18
Residential,Tier2,1422,3,Standard,44,1983740.96,2068575.8,5387986.25
Residential,Tier1,3637,1,Budget,13,3371277.58,3466159.85,8669303.58
Commercial,Tier1,40634,13,Budget,63,81572706.59,87010581.25,220913736.02
Residential,Tier1,3047,2,Standard,10,3227183.22,3699535.69,9949606.97
Industrial,Tier3,40132,3,Standard,35,36301418.81,33520335.49,92331040.16
Commercial,Tier1,73648,18,Budget,61,136966248.28,154953319.25,441138467.31
Residential,Tier2,3149,2,Standard,30,2792016.28,3121818.72,8543651.13
Residential,Tier1,813,1,Premium,36,1854778.92,2215788.39,5268967.0
Industrial,Tier2,159088,2,Budget,53,121452648.53,127511978.17,340609745.86
Residential,Tier2,3583,2,Standard,47,3147183.17,4142165.95,10437343.3
Residential,Tier3,2756,2,Standard,37,2618511.4,2833729.04,6926229.42
Industrial,Tier1,44472,9,Premium,101,95581836.01,124732685.3,284333733.69
Industrial,Tier1,187093,7,Budget,50,212337195.19,273576828.71,623344408.9
Industrial,Tier1,74131,3,Standard,99,114173846.36,127252487.67,299718483.66
Commercial,Tier3,49199,13,Premium,67,91857950.47,96095011.35,271826715.37
Residential,Tier3,2278,2,Premium,29,2097804.95,2805405.98,6884312.9
Residential,Tier2,4395,3,Standard,7,3271485.74,4414847.35,10299221.69
Commercial,Tier2,49363,4,Standard,81,83471514.94,74216518.65,211004949.57
Commercial,Tier2,65348,14,Standard,33,107917609.78,142336998.63,351476749.94
Residential,Tier1,2679,2,Premium,33,4123679.9,5356301.92,12291399.3
Industrial,Tier3,171379,9,Standard,86,159830506.22,181316089.26,456244167.37
Residential,Tier2,1543,3,Budget,38,1664759.85,1669918.79,4765605.54
Residential,Tier2,2429,2,Premium,11,2286868.83,2672880.85,7612847.28
Residential,Tier2,1513,1,Standard,27,1806004.67,2020318.26,5158299.72
Residential,Tier1,726,1,Standard,22,1290171.79,1393589.3,3812820.78
Residential,Tier1,2328,2,Budget,39,2903209.34,3043814.34,7309041.67
Residential,Tier3,2523,3,Standard,46,2104362.68,2803543.56,6661148.19
Residential,Tier1,2952,2,Standard,30,3675797.7,4030566.66,10958940.71
Commercial,Tier2,40820,13,Standard,98,74737815.69,95917873.36,218564761.97
Commercial,Tier1,71262,9,Budget,98,119647037.63,139097677.54,352868922.9
Commercial,Tier2,8760,12,Standard,89,18163839.08,18049951.01,49549037.95
Industrial,Tier1,148681,6,Premium,86,279708297.52,370935091.09,869871494.58
Residential,Tier2,3690,1,Budget,32,2460991.8,3277664.56,7640289.15
Residential,Tier3,3130,2,Premium,19,3018561.88,3350499.53,8094371.5
Industrial,Tier1,134397,1,Standard,93,177994197.73,221379226.76,508512641.38
Residential,Tier2,3792,2,Premium,50,4797594.72,5952641.73,14047953.23
Industrial,Tier2,181188,9,Standard,62,196713500.6,272004985.76,620703367.36
Residential,Tier2,4931,2,Standard,7,3600012.0,4442956.31,11294058.84
Industrial,Tier3,113574,6,Standard,47,84266298.5,118891595.53,279903182.76
Residential,Tier3,4459,2,Premium,20,3453267.3,5026432.33,11170466.32
Industrial,Tier1,50431,3,Standard,62,72341614.73,85929773.93,203387392.4
Commercial,Tier1,15651,17,Standard,80,49036507.35,45537699.61,125997188.8
Industrial,Tier1,49336,3,Standard,80,65756939.1,80383052.99,200041506.27
Residential,Tier2,1093,2,Premium,29,1563858.71,1920829.32,4699451.62
Commercial,Tier1,29306,6,Standard,20,55415714.78,65351342.97,177864985.83
Industrial,Tier2,89561,9,Standard,59,104466808.8,137584781.15,308286179.52
Commercial,Tier2,19376,18,Standard,81,35476981.8,42933473.27,116807349.77
Commercial,Tier2,66350,16,Premium,98,197854291.85,185731184.56,505039454.48
Commercial,Tier3,76425,9,Budget,97,79420276.96,95465060.45,216220717.07
Residential,Tier1,1163,3,Standard,33,2117320.72,2103768.5,5305572.52
Commercial,Tier1,56649,15,Budget,90,124833260.08,114556957.8,321501275.87
Commercial,Tier3,39610,8,Standard,50,50283359.71,59335212.88,144784036.55
Industrial,Tier2,172035,7,Standard,95,198155472.13,230929566.0,562992058.6
Residential,Tier2,1367,1,Standard,47,1717949.5,1919287.36,5384449.31
Residential,Tier2,2566,3,Standard,15,2277528.7,2942282.66,6578575.43
Industrial,Tier1,172008,1,Standard,62,252957957.94,262096401.82,648106972.68
Industrial,Tier3,136895,8,Standard,76,108491073.21,144369962.68,355608933.46
Residential,Tier3,1706,2,Budget,21,1320501.25,1374010.45,3417838.31
Commercial,Tier2,24539,3,Standard,21,33718855.69,41487978.82,100926017.67
Residential,Tier1,1669,2,Budget,10,1786122.78,1724190.16,4580374.23
Residential,Tier2,1330,3,Budget,4,989755.52,951169.06,2511508.97
Residential,Tier2,2151,3,Standard,29,2340736.26,2557840.49,6376525.23
Residential,Tier1,1636,3,Standard,26,2309151.52,2713875.57,6301540.58
Commercial,Tier3,11031,19,Standard,80,18901985.56,19433612.24,54744658.06
Residential,Tier1,975,1,Standard,48,1992420.3,2131565.67,5194627.57
Industrial,Tier3,22204,7,Standard,83,23608470.72,25665417.56,59593080.29
Industrial,Tier2,112769,4,Premium,94,174123438.59,168673168.88,461244147.29
